old_filename,new_filename
Li2CO3_TiO2.xy,01.xy
Li2MnO3.xy,02.xy
Li2MnO3_MnO_TiO2.xy,03.xy
Li2TiO3_MnF2_LiMn2O4.xy,04.xy
Li2TiO3_MnO_Li2O_MnF2.xy,05.xy
LiF.xy,06.xy
LiMn2O4_Li2MnO3.xy,07.xy
LiMn2O4_LiF_Li2MnO3.xy,08.xy
LiMnO2_Li2MnO3.xy,09.xy
Mn2O3.xy,10.xy
Mn2O3_Li2TiO3_TiO2.xy,11.xy
Mn2O3_LiF.xy,12.xy
Mn2O3_TiO2_LiMnO2.xy,13.xy
MnF2.xy,14.xy
MnF2_TiO2.xy,15.xy
TiO2.xy,16.xy
TiO2_LiMn2O4_LiF_Li2O.xy,17.xy
TiO2_LiMn2O4_MnF2_Li2O.xy,18.xy
TiO2_LiMnO2_LiF_Li2O.xy,19.xy
TiO2_LiMnO2_MnF2.xy,20.xy
TiO2_MnO.xy,21.xy
TiO2_MnO_LiF_Li2O.xy,22.xy
