pattern,phase,pearson,cosine
In2O3,In2O3_206,0.8105166250008967,0.8138533998651271
In2O3,Li2CO3_15,0.34184120378744703,0.3924038915979749
In2O3,ZrO2_137,0.22150476692971163,0.2590071760318777
In2O3,ZrO2_225,0.19350193450655587,0.2303474260364061
In2O3,ZrO2_57,0.13242311014177696,0.18746865150929315
In2O3,ZrO2_29,0.08309044353852381,0.13706020005006592
In2O3,MnCr2O4_227,0.07105706087702206,0.1294631146861197
In2O3,V2O5_11,0.01834965351095277,0.12024720403695548
In2O3,V2O5_12,0.008191286428049784,0.09820704809419277
In2O3,V2O5_59,-0.0015301652072833617,0.10465809918927829
In2O3,V2O5_31,-0.006461062223955194,0.08341324921386051
In2O3,LiMn2O4_227,-0.008048610839765526,0.05191935793604839
In2O3,Mn2O3_199,-0.01381734843307124,0.042555631958195755
In2O3,ZrO2_14,-0.016436564538294667,0.06614981618448679
In2O3,TiO2_141,-0.020010595794306373,0.037723640783636166
In2O3,Mn2O3_206,-0.023539298822254792,0.03724343529819976
In2O3,MnO_225,-0.023804744832979154,0.02596958541916771
In2O3,Li2MnO3_15,-0.024364429555071888,0.06061130365569357
In2O3,Mn2O3_61,-0.025804341547238225,0.02460992530636473
In2O3,MnO2_136,-0.03542115048955681,0.02800558432430596
In2O3,TiO2_136,-0.035492112502430256,0.03087932070595383
