pattern,phase,de_wolff,smith_snyder,n_used,n_match,n_possible,mean_delta_2theta
In2O3,In2O3_206,9.818379302168509,8.451121066087017,20,20,27,0.08764999755040943
In2O3,ZrO2_137,1.5609810600794927,0.7440089522718869,20,6,14,0.17280898056243288
In2O3,V2O5_59,0.7858347920331191,1.3567853820460212,20,13,54,0.11533252314784576
In2O3,Li2CO3_15,0.5570822847673745,0.5558195888379829,20,7,32,0.1377470343570733
In2O3,V2O5_31,0.5287246627796376,0.6485077708705785,20,8,36,0.1370668061071365
In2O3,ZrO2_14,0.5241921493547134,0.615214669675173,20,6,33,0.08866084837387571
In2O3,ZrO2_57,0.3557627349886397,0.4048564312236405,20,6,34,0.13076530934825095
In2O3,V2O5_12,0.2551713417421034,0.3320814693665406,20,6,53,0.10227088014193579
In2O3,V2O5_11,0.07790144593594998,0.18285130161267876,20,6,74,0.1330278981324883
In2O3,Li2MnO3_15,0.0,0.0,20,5,53,inf
In2O3,LiMn2O4_227,0.0,0.0,20,2,12,inf
In2O3,Mn2O3_199,0.0,0.0,20,4,21,inf
In2O3,Mn2O3_206,0.0,0.0,20,5,23,inf
In2O3,Mn2O3_61,0.0,0.0,20,2,26,inf
In2O3,MnCr2O4_227,0.0,0.0,20,2,14,inf
In2O3,MnO2_136,0.0,0.0,20,0,12,inf
In2O3,MnO_225,0.0,0.0,20,1,5,inf
In2O3,TiO2_136,0.0,0.0,20,1,15,inf
In2O3,TiO2_141,0.0,0.0,20,5,15,inf
In2O3,ZrO2_225,0.0,0.0,20,1,8,inf
In2O3,ZrO2_29,0.0,0.0,20,4,36,inf
